case_id,winner,competitor,nominal_gap,finite,finite_or_infinite_reason,radius_tv_primal_dual,radius_tv_lp,radius_tv_transport,lp_transport_abs_diff,range_lower_bound,verification_status,objective_gap,maximum_primal_violation,maximum_dual_violation,maximum_complementarity_residual,mathematical_tie_tolerance,verification_tolerance
primary11__iid__rank__equal,TA-TABICLv2 (default),TA-TABDPT (default),0.3175257731958762,True,finite_pairwise_boundary,0.1678121420389461,0.1678121420389461,0.1678121420389461,2.775557561562892e-17,0.1587628865979381,PASS,0.0,1.3322676295501878e-15,2.775557561562892e-17,8.300840605435867e-17,1e-12,1e-08
primary11__iid__rank__equal,TA-TABICLv2 (default),TA-TABPFN-2.6 (default),0.0103092783505154,True,finite_pairwise_boundary,0.0057273768613973,0.0057273768613973,0.0057273768613974,1.0234868508263162e-16,0.0057273768613974,PASS,9.020562075079396e-17,1.1102230246251563e-15,4.163336342344337e-17,4.163336342344337e-17,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),LR (tuned + ensemble),0.6272727272727274,True,finite_pairwise_boundary,0.6493506493506493,0.6493506493506493,0.6493506493506498,4.440892098500626e-16,0.5702479338842976,PASS,1.1102230246251563e-16,2.775557561562892e-17,1.1102230246251563e-16,8.651088503572648e-18,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),RF (tuned + ensemble),0.6272727272727274,False,winner_taskwise_weakly_dominates_competitor,inf,inf,inf,,0.8961038961038964,INFEASIBLE,,,,,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),XT (tuned + ensemble),0.6272727272727273,False,winner_taskwise_weakly_dominates_competitor,inf,inf,inf,,0.7840909090909092,INFEASIBLE,,,,,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),CAT (tuned + ensemble),0.1545454545454545,True,finite_pairwise_boundary,0.1239669421487603,0.1239669421487603,0.1239669421487603,4.163336342344337e-17,0.1188811188811189,PASS,4.163336342344337e-17,1.6653345369377348e-16,1.1102230246251563e-16,3.57840479011414e-17,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),GBM (tuned + ensemble),0.1454545454545454,True,finite_pairwise_boundary,0.1818181818181819,0.1818181818181819,0.1818181818181818,1.1102230246251563e-16,0.1818181818181818,PASS,1.1102230246251563e-16,3.6082248300317592e-16,5.551115123125783e-17,1.353084311261909e-16,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),XGB (tuned + ensemble),0.2636363636363636,True,finite_pairwise_boundary,0.2272727272727271,0.2272727272727271,0.2272727272727273,1.6653345369377348e-16,0.2027972027972028,PASS,5.551115123125783e-17,4.996003610813204e-16,0.0,1.9984014443252816e-16,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),TA-REALMLP (tuned + ensemble),0.0909090909090909,True,finite_pairwise_boundary,0.1022727272727273,0.1022727272727273,0.1022727272727272,4.163336342344337e-17,0.101010101010101,PASS,5.551115123125783e-17,8.326672684688674e-17,0.0,2.0816681711721685e-17,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),TA-TABM (tuned + ensemble),0.3272727272727272,True,finite_pairwise_boundary,0.2727272727272726,0.2727272727272726,0.2727272727272727,5.551115123125783e-17,0.2337662337662338,PASS,1.1102230246251563e-16,2.914335439641036e-16,1.1102230246251563e-16,9.272885489766931e-17,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),TA-TABDPT (default),0.6363636363636364,False,winner_taskwise_weakly_dominates_competitor,inf,inf,inf,,0.7070707070707071,INFEASIBLE,,,,,1e-12,1e-08
primary11__temporal__rank__equal,TA-TABPFN-2.6 (default),TA-TABICLv2 (default),0.4000000000000001,True,finite_pairwise_boundary,0.4848484848484848,0.4848484848484848,0.4848484848484851,2.220446049250313e-16,0.3636363636363637,PASS,5.551115123125783e-17,2.220446049250313e-16,0.0,3.1960965860421163e-17,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),LR (tuned + ensemble),0.5428571428571429,True,finite_pairwise_boundary,0.3520408163265306,0.3520408163265306,0.3520408163265306,0.0,0.3392857142857143,PASS,5.551115123125783e-17,2.220446049250313e-16,2.220446049250313e-16,9.990591120829693e-17,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),RF (tuned + ensemble),0.4428571428571429,True,finite_pairwise_boundary,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.0,0.4428571428571429,PASS,1.1102230246251563e-16,1.3877787807814457e-17,0.0,1.1895246692412392e-17,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),XT (tuned + ensemble),0.2285714285714286,True,finite_pairwise_boundary,0.2232142857142857,0.2232142857142857,0.2232142857142857,5.551115123125783e-17,0.1904761904761905,PASS,8.326672684688674e-17,2.7755575615628914e-16,8.326672684688674e-17,3.469446951953616e-17,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),CAT (tuned + ensemble),0.1285714285714286,True,finite_pairwise_boundary,0.1142857142857144,0.1142857142857144,0.1142857142857143,9.714451465470121e-17,0.1071428571428571,PASS,1.249000902703301e-16,2.0816681711721683e-16,4.163336342344337e-17,5.4073808922591316e-17,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),GBM (tuned + ensemble),0.1071428571428571,True,finite_pairwise_boundary,0.1000000000000001,0.1000000000000001,0.0999999999999999,1.8041124150158796e-16,0.0974025974025973,PASS,1.249000902703301e-16,4.0245584642661925e-16,1.1102230246251563e-16,1.6098233857064774e-16,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),XGB (tuned + ensemble),0.3714285714285715,True,finite_pairwise_boundary,0.4081632653061224,0.4081632653061224,0.4081632653061224,0.0,0.3714285714285715,PASS,0.0,1.1102230246251563e-16,4.440892098500626e-16,5.5511151231257815e-17,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),0.0714285714285714,True,finite_pairwise_boundary,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,0.0714285714285714,PASS,5.551115123125783e-17,2.6367796834847473e-16,0.0,1.1647429052987128e-16,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),TA-TABDPT (default),0.5428571428571428,True,finite_pairwise_boundary,0.4999999999999999,0.4999999999999999,0.4999999999999999,5.551115123125783e-17,0.4175824175824175,PASS,5.551115123125783e-17,1.3877787807814457e-17,0.0,5.551115123125783e-17,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),TA-TABPFN-2.6 (default),0.25,True,finite_pairwise_boundary,0.1904761904761908,0.1904761904761908,0.1904761904761905,3.6082248300317592e-16,0.1785714285714286,PASS,4.163336342344337e-16,9.71445146547012e-16,1.1102230246251563e-16,3.2381504884900393e-16,1e-12,1e-08
primary11__grouped__rank__equal,TA-REALMLP (tuned + ensemble),TA-TABICLv2 (default),0.3,True,finite_pairwise_boundary,0.336734693877551,0.336734693877551,0.3367346938775511,1.1102230246251563e-16,0.2727272727272727,PASS,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17,1.0040154648714743e-16,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),LR (tuned + ensemble),0.5105993662694693,True,finite_pairwise_boundary,0.3576406411457956,0.3576406411457956,0.3576406411457956,0.0,0.3191246039184183,PASS,2.220446049250313e-16,8.881784197001252e-16,6.245004513516506e-17,9.25914960469894e-17,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),RF (tuned + ensemble),0.4559601910117374,True,finite_pairwise_boundary,0.2899689085256093,0.2899689085256093,0.2899689085256094,1.1102230246251563e-16,0.2682118770657278,PASS,2.7755575615628914e-16,6.661338147750939e-16,1.6653345369377348e-16,8.712246273782076e-17,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),XT (tuned + ensemble),0.3615075646003481,True,finite_pairwise_boundary,0.2102746909447936,0.2102746909447936,0.2102746909447939,2.7755575615628914e-16,0.1902671392633411,PASS,3.8857805861880484e-16,8.881784197001252e-16,5.551115123125783e-17,1.3773107342904851e-16,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),CAT (tuned + ensemble),0.1042754496362743,True,finite_pairwise_boundary,0.0755232739768821,0.0755232739768821,0.0755232739768822,9.714451465470121e-17,0.0695169664241829,PASS,6.938893903907227e-17,1.1102230246251563e-15,2.220446049250313e-16,3.592826178557936e-17,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),GBM (tuned + ensemble),0.1068170660954166,True,finite_pairwise_boundary,0.0989378319275225,0.0989378319275225,0.0989378319275226,1.1102230246251563e-16,0.076297904353869,PASS,5.551115123125783e-17,1.1102230246251563e-15,1.1102230246251563e-16,6.9089758851956875e-18,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),XGB (tuned + ensemble),0.250457446333735,True,finite_pairwise_boundary,0.1756096137539435,0.1756096137539435,0.1756096137539436,1.1102230246251563e-16,0.1473279096080794,PASS,1.6653345369377348e-16,8.881784197001252e-16,3.8857805861880484e-16,1.0808661658009331e-16,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),0.135587093319052,True,finite_pairwise_boundary,0.1216989820551206,0.1216989820551206,0.1216989820551207,8.326672684688674e-17,0.1042977640915785,PASS,1.249000902703301e-16,8.881784197001252e-16,2.220446049250313e-16,2.726986930030739e-17,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),TA-TABDPT (default),0.4208461641451332,True,finite_pairwise_boundary,0.2365388048377737,0.2365388048377737,0.2365388048377738,5.551115123125783e-17,0.2214979811290174,PASS,2.220446049250313e-16,1.1102230246251563e-15,1.1102230246251563e-16,4.086790178654596e-17,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),TA-TABPFN-2.6 (default),0.0087004061230865,True,finite_pairwise_boundary,0.0051178859547567,0.0051178859547567,0.0051178859547567,2.3418766925686896e-17,0.0051178859547567,PASS,2.6020852139652106e-17,1.3322676295501878e-15,5.551115123125783e-17,5.087838405865471e-18,1e-12,1e-08
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),TA-TABICLv2 (default),0.155263980006248,True,finite_pairwise_boundary,0.0913344602133262,0.0913344602133262,0.0913344602133261,5.551115123125783e-17,0.0862577666701377,PASS,2.775557561562892e-17,8.881784197001252e-16,1.1102230246251563e-16,3.155028321932815e-17,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),LR (tuned + ensemble),0.5837318332171376,True,finite_pairwise_boundary,0.3638977374791303,0.3638977374791303,0.3638977374791305,2.220446049250313e-16,0.3600414636063965,PASS,1.1102230246251563e-16,4.440892098500626e-16,1.6653345369377348e-16,2.79900178852313e-17,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),RF (tuned + ensemble),0.3472925527744248,True,finite_pairwise_boundary,0.2317596013292374,0.2317596013292374,0.2317596013292375,8.326672684688674e-17,0.2080233096901437,PASS,1.3877787807814454e-16,4.440892098500626e-16,2.775557561562892e-17,2.664050343001016e-17,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),XT (tuned + ensemble),0.2707225648079112,True,finite_pairwise_boundary,0.1583978514824529,0.1583978514824529,0.1583978514824529,5.551115123125783e-17,0.1409623370030695,PASS,1.1102230246251563e-16,5.551115123125784e-16,4.163336342344337e-17,6.938893903907228e-18,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),CAT (tuned + ensemble),0.1051978320851,True,finite_pairwise_boundary,0.0635731305920643,0.0635731305920643,0.0635731305920642,1.6653345369377348e-16,0.0612308722703657,PASS,1.52655665885959e-16,4.440892098500626e-16,1.1102230246251563e-16,7.968054205724687e-18,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),GBM (tuned + ensemble),0.1193342886581251,True,finite_pairwise_boundary,0.0732782243461153,0.0732782243461153,0.0732782243461151,1.6653345369377348e-16,0.0692869326757194,PASS,1.3877787807814454e-16,5.551115123125784e-16,1.1102230246251563e-16,1.5658029512874442e-17,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),XGB (tuned + ensemble),0.1902581274440361,True,finite_pairwise_boundary,0.1140236980323929,0.1140236980323929,0.1140236980323928,9.714451465470121e-17,0.099464892247574,PASS,9.714451465470121e-17,4.440892098500626e-16,2.775557561562892e-17,1.3569192363490397e-17,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),TA-REALMLP (tuned + ensemble),0.0472183268795063,True,finite_pairwise_boundary,0.030470967732163,0.030470967732163,0.0304709677321629,9.714451465470121e-17,0.0286356172966684,PASS,1.1102230246251563e-16,4.440892098500626e-16,1.52655665885959e-16,1.7581249230795053e-17,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),TA-TABM (tuned + ensemble),0.10205184920851,True,finite_pairwise_boundary,0.0650324329438314,0.0650324329438314,0.0650324329438313,9.714451465470121e-17,0.0544448709150709,PASS,9.714451465470121e-17,4.440892098500626e-16,1.1102230246251563e-16,1.2050256852610064e-17,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),TA-TABDPT (default),0.2432383526663825,True,finite_pairwise_boundary,0.1862038318789775,0.1862038318789775,0.1862038318789776,8.326672684688674e-17,0.1674637322873969,PASS,2.775557561562892e-17,4.440892098500626e-16,8.326672684688674e-17,1.0791398507595385e-17,1e-12,1e-08
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),TA-TABICLv2 (default),0.035447757525844,True,finite_pairwise_boundary,0.021471026002121,0.021471026002121,0.0214710260021211,1.1102230246251563e-16,0.0214710260021211,PASS,4.8572257327350605e-17,4.440892098500626e-16,2.775557561562892e-17,1.6057412987256806e-17,1e-12,1e-08
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),LR (tuned + ensemble),0.5369718309859157,True,finite_pairwise_boundary,0.3527528809218948,0.3527528809218948,0.3527528809218948,0.0,0.3304442036836404,PASS,1.1102230246251563e-16,8.881784197001252e-16,2.775557561562892e-17,3.343285244609846e-17,1e-12,1e-08
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),RF (tuned + ensemble),0.4744718309859156,True,finite_pairwise_boundary,0.2816901408450697,0.2816901408450697,0.2816901408450702,4.996003610813204e-16,0.2530516431924883,PASS,6.106226635438361e-16,7.042977312465837e-16,1.1102230246251563e-16,3.5214886562329184e-16,1e-12,1e-08
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),XT (tuned + ensemble),0.3943661971830987,True,finite_pairwise_boundary,0.2221018418201513,0.2221018418201513,0.2221018418201516,3.05311331771918e-16,0.1971830985915493,PASS,2.220446049250313e-16,1.1102230246251563e-15,2.775557561562892e-17,2.0629865337385718e-16,1e-12,1e-08
