task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABDPT (default),TA-TABPFN-2.6 (default),TA-TABICLv2 (default)
healthcare_insurance_expenses-ad067e29f4ae,1.0,0.9,0.8,0.4,0.3,0.5,0.7,0.6,0.1,0.2,0.0
heart_disease_cleveland-1e633334e0ef,0.1,0.9,0.0,0.4,0.3,1.0,0.6,0.8,0.7,0.5,0.2
heart_disease_hungary-f5ca5cfb8352,0.0,1.0,0.4,0.8,0.7,0.9,0.1,0.5,0.6,0.2,0.3
heart_disease_va_long_beach-062b5d1dcb90,0.6,0.2,0.0,0.3,0.8,0.9,1.0,0.7,0.1,0.4,0.5
heart_failure_followup_survival-25d12c8bf5bb,1.0,0.1,0.6,0.4,0.7,0.2,0.8,0.3,0.9,0.5,0.0
heloc-d2ac12c6b994,1.0,0.8,0.9,0.6,0.5,0.4,0.2,0.3,0.7,0.0,0.1
hepatitis_c_prediction-d17a9e02b43b,1.0,0.7,0.6,0.5,0.4,0.8,0.3,0.2,0.9,0.0,0.1
hepatitis_survival_prediction-d1673748bbbe,0.6,0.7,0.5,0.3,1.0,0.9,0.8,0.2,0.0,0.4,0.1
hiva_agnostic-c4b35582c204,1.0,0.5,0.3,0.4,0.2,0.0,0.7,0.8,0.6,0.1,0.9
homeq_default_prediction-6da1464558b9,1.0,0.9,0.8,0.5,0.6,0.7,0.3,0.4,0.2,0.0,0.1
horse_colic_survival-e1beb13d0b4e,1.0,0.6,0.5,0.8,0.4,0.2,0.0,0.3,0.9,0.7,0.1
houses-ca1697d5c050,1.0,0.8,0.9,0.5,0.6,0.7,0.2,0.4,0.3,0.1,0.0
hr_analytics-9f0cb22a2cd4,1.0,0.8,0.9,0.1,0.5,0.2,0.4,0.6,0.7,0.3,0.0
immoscout_german_house_prices-58b4f389c67d,1.0,0.7,0.9,0.4,0.5,0.6,0.2,0.3,0.8,0.0,0.1
in_vehicle_coupon_recommendation-102e68b480bd,1.0,0.7,0.9,0.3,0.5,0.6,0.2,0.0,0.8,0.1,0.4
indian_liver_patient_dataset-0216cd985bcf,0.6,0.8,0.2,0.4,0.9,1.0,0.3,0.5,0.1,0.7,0.0
iranian_churn-87d6fa636729,1.0,0.9,0.8,0.5,0.6,0.7,0.3,0.4,0.2,0.1,0.0
jm1-c8cfe392b650,1.0,0.5,0.3,0.4,0.7,0.8,0.6,0.9,0.0,0.1,0.2
kdd_cup_09_appetency-72d0143e7c3d,0.8,0.9,0.5,0.0,0.4,0.1,0.7,0.6,1.0,0.3,0.2
labour_inspection_compliance-17b501f52bd1,1.0,0.8,0.7,0.2,0.5,0.3,0.1,0.4,0.9,0.6,0.0
ljubljana_breast_cancer-28c8b88c6b23,0.3,1.0,0.9,0.4,0.6,0.5,0.8,0.7,0.2,0.1,0.0
ljubljana_primary_tumor-b1acf2d83b0d,1.0,0.8,0.5,0.7,0.3,0.6,0.1,0.0,0.9,0.4,0.2
lung_cancer-48c9b1f8934d,0.3,1.0,0.6,0.8,0.5,0.9,0.2,0.0,0.4,0.1,0.7
lung_cancer_epithelial_genexp-ff6233558b2e,0.1,0.8,0.9,0.6,0.5,0.7,0.4,0.3,0.0,0.2,1.0
marketing_campaign-45b76b0f0de6,0.5,1.0,0.9,0.7,0.3,0.6,0.4,0.2,0.8,0.1,0.0
maternal_health_risk-002da4815804,1.0,0.5,0.4,0.7,0.9,0.8,0.3,0.6,0.0,0.2,0.1
miami_housing-77ada7242bed,1.0,0.9,0.8,0.5,0.6,0.7,0.3,0.4,0.2,0.1,0.0
mic-ba10980b94f8,1.0,0.7,0.8,0.5,0.6,0.4,0.1,0.0,0.9,0.2,0.3
mutual_funds_india-5fbf8efc1836,0.9,0.7,0.8,0.6,0.5,0.2,0.3,0.4,1.0,0.1,0.0
naticusdroid_android_permissions_dataset-c7f072cebb01,0.9,1.0,0.8,0.1,0.5,0.6,0.2,0.4,0.7,0.3,0.0
obesity_estimation-37bb57808420,0.6,0.7,0.8,0.9,0.3,1.0,0.5,0.4,0.0,0.2,0.1
online_shoppers_purchasing_intention_dat-7c9d5262e1c0,1.0,0.9,0.7,0.6,0.4,0.3,0.5,0.2,0.8,0.0,0.1
otto_group_product_classification_challe-08decc7aebcb,1.0,0.9,0.8,0.6,0.3,0.4,0.2,0.1,0.7,0.5,0.0
physiochemical_protein-d68ec1dd11a4,1.0,0.8,0.9,0.5,0.7,0.6,0.3,0.4,0.0,0.2,0.1
polish_companies_bankruptcy-c6e7be38cb09,1.0,0.8,0.9,0.5,0.7,0.6,0.3,0.2,0.4,0.0,0.1
predict_students_dropout_and_academic_su-60806510bdda,0.7,1.0,0.9,0.4,0.2,0.6,0.3,0.5,0.8,0.1,0.0
prostate_cancer_detection-d59b58af2363,0.8,0.5,0.2,0.4,0.1,0.6,0.3,0.7,0.9,0.0,1.0
pva_revenue_prediction_kddcup98-94a4b79d0042,1.0,0.6,0.5,0.2,0.0,0.1,0.3,0.4,0.9,0.7,0.8
qsar_aquatic_toxicity-96e503f00d74,1.0,0.7,0.4,0.5,0.9,0.8,0.3,0.6,0.0,0.1,0.2
qsar_biodeg-99edbe20f66b,1.0,0.9,0.4,0.8,0.6,0.7,0.5,0.1,0.3,0.2,0.0
qsar_fish_toxicity-7d92081eed10,1.0,0.7,0.4,0.5,0.8,0.6,0.2,0.9,0.0,0.3,0.1
qsar_tid_11-34170685abe8,1.0,0.8,0.7,0.6,0.2,0.3,0.1,0.4,0.5,0.0,0.9
regensburg_pediatric_appendicitis-e7c24901d0c7,0.8,0.3,0.5,0.6,0.2,0.7,0.4,0.9,1.0,0.1,0.0
santander_customer_satisfaction-504299481d76,0.8,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.9,0.0,1.0
santander_transaction_value-46443292502e,0.9,0.3,0.6,0.5,0.4,0.2,0.7,0.8,1.0,0.0,0.1
sdss_17-3d9b16fdea21,1.0,0.4,0.5,0.3,0.6,0.2,0.9,0.7,0.8,0.0,0.1
seismic_bumps-9636045db12f,1.0,0.8,0.5,0.4,0.6,0.3,0.9,0.7,0.2,0.0,0.1
sepsis_survival_minimal_clinical_records-225532acc0df,0.8,0.7,0.6,0.3,0.1,0.5,0.0,0.2,0.9,0.4,1.0
south_africa_coronary_heart_disease-0e8d7cd42b03,0.0,1.0,0.6,0.8,0.3,0.9,0.5,0.7,0.2,0.4,0.1
splice-0b61e96684a9,0.7,0.9,0.8,0.5,0.2,0.3,0.4,0.6,1.0,0.1,0.0
student_portuguese_performance-3bb888dc8310,1.0,0.6,0.2,0.8,0.5,0.9,0.7,0.4,0.0,0.3,0.1
superconductivity-f6f2e1d679cc,1.0,0.9,0.8,0.7,0.4,0.6,0.5,0.3,0.1,0.2,0.0
taiwanese_bankruptcy_prediction-e1d1c0962bcb,0.9,1.0,0.8,0.6,0.2,0.4,0.3,0.5,0.7,0.0,0.1
thyroid_discordant-1111dc4e4f7d,1.0,0.4,0.3,0.7,0.6,0.9,0.2,0.5,0.8,0.1,0.0
tour_travels_churn-638a10e1adbe,1.0,0.0,0.9,0.5,0.6,0.1,0.7,0.8,0.4,0.2,0.3
website_phishing-e1ffdd9e6d3a,1.0,0.4,0.7,0.6,0.9,0.8,0.3,0.5,0.0,0.2,0.1
wids_diabetes_mellitus-d05f898265f2,0.8,0.9,0.7,0.5,0.3,0.2,0.1,0.0,1.0,0.4,0.6
wine_quality-6ad3969edbaa,1.0,0.7,0.5,0.4,0.9,0.6,0.3,0.8,0.0,0.2,0.1
wine_world_cost-59804d5f92e6,0.9,1.0,0.8,0.7,0.2,0.6,0.1,0.3,0.5,0.0,0.4
