task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABDPT (default),TA-TABPFN-2.6 (default),TA-TABICLv2 (default),TA-TABPFN-3 (default)
5g_energy_consumption-10eca1f7da02,1.0,0.8181818181818182,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.9090909090909091,0.5454545454545454,0.6363636363636364,0.36363636363636365
acquire_valued_shoppers_challenge-f519aa482bb5,1.0,0.5454545454545454,0.8181818181818182,0.7272727272727273,0.45454545454545453,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.0,0.9090909090909091,0.18181818181818182
airfoil_self_noise-6278f0ada559,1.0,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.0
amazon_employee_access-4417c4c952bc,0.2727272727272727,0.9090909090909091,0.8181818181818182,0.0,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.45454545454545453,1.0,0.7272727272727273,0.5454545454545454,0.6363636363636364
anes_voting_2026-58a0e941922e,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.36363636363636365,1.0,0.5454545454545454,0.6363636363636364,0.0
aps_failure-b63fc6330117,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.6363636363636364,1.0,0.18181818181818182,0.09090909090909091,0.0
asp_potassco_classification-6cbac33e4d1f,1.0,0.5454545454545454,0.6363636363636364,0.45454545454545453,0.8181818181818182,0.7272727272727273,0.2727272727272727,0.36363636363636365,0.9090909090909091,0.09090909090909091,0.0,0.18181818181818182
audiology_diagnosis-90d4820bace0,0.09090909090909091,0.8181818181818182,0.9090909090909091,0.45454545454545453,0.7272727272727273,0.5454545454545454,0.18181818181818182,0.6363636363636364,1.0,0.36363636363636365,0.0,0.2727272727272727
bad_customer_detection-7b2ea3462dce,0.8181818181818182,0.7272727272727273,1.0,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.6363636363636364,0.9090909090909091,0.36363636363636365,0.0,0.45454545454545453,0.2727272727272727
bank_customer_churn-b1fc11f3ea36,1.0,0.9090909090909091,0.8181818181818182,0.45454545454545453,0.5454545454545454,0.7272727272727273,0.2727272727272727,0.18181818181818182,0.6363636363636364,0.09090909090909091,0.36363636363636365,0.0
