task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABDPT (default),TA-TABPFN-2.6 (default),TA-TABICLv2 (default)
5g_energy_consumption-10eca1f7da02,1,0.80000000000000004,0.69999999999999996,0.40000000000000002,0.29999999999999999,0.20000000000000001,0.10000000000000001,0,0.90000000000000002,0.5,0.59999999999999998
acquire_valued_shoppers_challenge-f519aa482bb5,1,0.5,0.80000000000000004,0.69999999999999996,0.40000000000000002,0.59999999999999998,0.29999999999999999,0.20000000000000001,0.10000000000000001,0,0.90000000000000002
airfoil_self_noise-6278f0ada559,1,0.90000000000000002,0.80000000000000004,0.5,0.69999999999999996,0.59999999999999998,0.20000000000000001,0.40000000000000002,0.29999999999999999,0,0.10000000000000001
allstate_claims_severity-ac12f04f54e8,1,0.80000000000000004,0.90000000000000002,0.40000000000000002,0.5,0.59999999999999998,0.20000000000000001,0.29999999999999999,0.10000000000000001,0,0.69999999999999996
amazon_employee_access-4417c4c952bc,0.29999999999999999,0.90000000000000002,0.80000000000000004,0,0.20000000000000001,0.40000000000000002,0.10000000000000001,0.5,1,0.69999999999999996,0.59999999999999998
amex_non_iid_1m-e2e64ee8b42e,0.80000000000000004,0.69999999999999996,0.90000000000000002,0.59999999999999998,0.20000000000000001,0.5,0.29999999999999999,0.40000000000000002,0.10000000000000001,0,1
anes_voting_2026-58a0e941922e,0.69999999999999996,0.80000000000000004,0.90000000000000002,0.20000000000000001,0.10000000000000001,0,0.40000000000000002,0.29999999999999999,1,0.5,0.59999999999999998
aps_failure-b63fc6330117,0.90000000000000002,0.80000000000000004,0.69999999999999996,0.40000000000000002,0.5,0.29999999999999999,0.20000000000000001,0.59999999999999998,1,0.10000000000000001,0
asp_potassco_classification-6cbac33e4d1f,1,0.5,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.69999999999999996,0.20000000000000001,0.29999999999999999,0.90000000000000002,0.10000000000000001,0
audiology_diagnosis-90d4820bace0,0.10000000000000001,0.80000000000000004,0.90000000000000002,0.40000000000000002,0.69999999999999996,0.5,0.20000000000000001,0.59999999999999998,1,0.29999999999999999,0
bad_customer_detection-7b2ea3462dce,0.80000000000000004,0.69999999999999996,1,0.20000000000000001,0.5,0.10000000000000001,0.59999999999999998,0.90000000000000002,0.29999999999999999,0,0.40000000000000002
bank_customer_churn-b1fc11f3ea36,1,0.90000000000000002,0.80000000000000004,0.40000000000000002,0.5,0.69999999999999996,0.20000000000000001,0.10000000000000001,0.59999999999999998,0,0.29999999999999999
bank_marketing-ba2b45409a51,1,0.80000000000000004,0.90000000000000002,0.10000000000000001,0.40000000000000002,0.29999999999999999,0.5,0.59999999999999998,0.69999999999999996,0.20000000000000001,0
biogeographical_ancestry_prediction-a940a550ed40,1,0.90000000000000002,0.59999999999999998,0.5,0.69999999999999996,0.80000000000000004,0.29999999999999999,0.20000000000000001,0.40000000000000002,0,0.10000000000000001
biomechanical_orthopaedic_prediction-c744da7b0d83,0,0.80000000000000004,0.69999999999999996,0.40000000000000002,0.90000000000000002,1,0.29999999999999999,0.5,0.59999999999999998,0.20000000000000001,0.10000000000000001
bioresponse-63f85b558d70,1,0.59999999999999998,0.69999999999999996,0.5,0.40000000000000002,0.29999999999999999,0.10000000000000001,0.20000000000000001,0.80000000000000004,0,0.90000000000000002
blood_tests_drink_prediction-aeec267edab7,0.5,0.69999999999999996,0.59999999999999998,0.80000000000000004,0.90000000000000002,1,0.29999999999999999,0.40000000000000002,0,0.10000000000000001,0.20000000000000001
blood_transfusion-c0b8fbb104f3,0.10000000000000001,1,0.90000000000000002,0.69999999999999996,0,0.80000000000000004,0.40000000000000002,0.59999999999999998,0.20000000000000001,0.5,0.29999999999999999
body_density_prediction-19548b7220c1,0.59999999999999998,0.69999999999999996,0.5,0.80000000000000004,0.90000000000000002,1,0,0.40000000000000002,0.29999999999999999,0.10000000000000001,0.20000000000000001
california_house_prices_2020-08905ffc576b,0.90000000000000002,0.80000000000000004,0.69999999999999996,0.29999999999999999,0.40000000000000002,0.5,0.10000000000000001,0.59999999999999998,1,0,0.20000000000000001
cardiotocography-172ef52f9a1b,1,0.29999999999999999,0.5,0,0.10000000000000001,0.20000000000000001,0.40000000000000002,0.69999999999999996,0.90000000000000002,0.80000000000000004,0.59999999999999998
churn-4ae7db677764,1,0.69999999999999996,0.59999999999999998,0.29999999999999999,0.80000000000000004,0.5,0.40000000000000002,0.90000000000000002,0.20000000000000001,0.10000000000000001,0
cirrhosis_patient_survival_prediction-c8851fd8162a,0.29999999999999999,0.90000000000000002,1,0.69999999999999996,0.5,0.80000000000000004,0.10000000000000001,0,0.20000000000000001,0.40000000000000002,0.59999999999999998
climate_model_weather_forecasting_1m-88f9bd87b0e4,1,0.80000000000000004,0.90000000000000002,0.5,0.40000000000000002,0.59999999999999998,0.20000000000000001,0.29999999999999999,0.10000000000000001,0,0.69999999999999996
clock_protein_toxicity-f1eed69eb784,1,0.80000000000000004,0.69999999999999996,0.40000000000000002,0.29999999999999999,0.20000000000000001,0.10000000000000001,0.5,0.90000000000000002,0,0.59999999999999998
coffee_rating_prediction-5ff37781e0a3,0.80000000000000004,0.90000000000000002,1,0.5,0.29999999999999999,0.40000000000000002,0.10000000000000001,0.59999999999999998,0.69999999999999996,0,0.20000000000000001
coil_2000-d498c6d7849f,0.90000000000000002,0.80000000000000004,0.69999999999999996,0.40000000000000002,0.20000000000000001,0.59999999999999998,0.5,0.29999999999999999,1,0,0.10000000000000001
concrete_compressive_strength-4c0702dec5d1,1,0.80000000000000004,0.90000000000000002,0.5,0.29999999999999999,0.40000000000000002,0.20000000000000001,0.59999999999999998,0.69999999999999996,0,0.10000000000000001
consumer_complaints_1m-853af219eb5a,1,0.69999999999999996,0.5,0.29999999999999999,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.20000000000000001,0.10000000000000001,0,0.90000000000000002
cooking_time_1m-835a54525572,0.69999999999999996,0.80000000000000004,0.90000000000000002,0.20000000000000001,0.29999999999999999,0.5,0.40000000000000002,0.59999999999999998,0.10000000000000001,0,1
covertype-1ed1c3d23864,0.90000000000000002,0.69999999999999996,0.80000000000000004,0.40000000000000002,0.5,0.59999999999999998,0.29999999999999999,0.20000000000000001,0.10000000000000001,0,1
credit_approval-a37d9105992b,1,0,0.90000000000000002,0.5,0.40000000000000002,0.10000000000000001,0.69999999999999996,0.59999999999999998,0.80000000000000004,0.20000000000000001,0.29999999999999999
credit_card_clients_default-9470ea90c86d,1,0.90000000000000002,0.80000000000000004,0.69999999999999996,0.5,0.59999999999999998,0.29999999999999999,0.20000000000000001,0.40000000000000002,0.10000000000000001,0
credit_g-6ced9fa4ef3f,0.69999999999999996,0.80000000000000004,1,0.10000000000000001,0.29999999999999999,0.40000000000000002,0.59999999999999998,0,0.90000000000000002,0.5,0.20000000000000001
customer_satisfaction_in_airline-717af216790d,1,0.90000000000000002,0.80000000000000004,0.40000000000000002,0.59999999999999998,0.69999999999999996,0.29999999999999999,0.20000000000000001,0.5,0.10000000000000001,0
delivery_eta_1m-2a88c3ab9376,1,0.80000000000000004,0.90000000000000002,0.5,0.40000000000000002,0.29999999999999999,0.20000000000000001,0.59999999999999998,0.10000000000000001,0,0.69999999999999996
dementia_prediction-d8ce15bd8d63,0.10000000000000001,0.59999999999999998,0.20000000000000001,0.29999999999999999,0.40000000000000002,0.80000000000000004,0,0.5,1,0.69999999999999996,0.90000000000000002
diabetes_130_us-a06cb03600f0,0.80000000000000004,0.69999999999999996,0.90000000000000002,0,0.40000000000000002,0.10000000000000001,0.20000000000000001,0.59999999999999998,1,0.29999999999999999,0.5
diamonds-910d3c5757be,1,0.90000000000000002,0.80000000000000004,0.40000000000000002,0.59999999999999998,0.69999999999999996,0,0.10000000000000001,0.5,0.29999999999999999,0.20000000000000001
drug_induced_autoimmunity_prediction-752f934a6ee0,1,0.59999999999999998,0.40000000000000002,0.5,0.80000000000000004,0.69999999999999996,0.20000000000000001,0.29999999999999999,0.90000000000000002,0.10000000000000001,0
early_learning_predictors-90d92cf6004c,1,0.80000000000000004,0.69999999999999996,0.10000000000000001,0,0.5,0.20000000000000001,0.40000000000000002,0.90000000000000002,0.29999999999999999,0.59999999999999998
early_stage_diabetes_risk_prediction-51d4ebef5816,1,0.20000000000000001,0.29999999999999999,0.10000000000000001,0.90000000000000002,0.59999999999999998,0.69999999999999996,0.80000000000000004,0.40000000000000002,0.5,0
ecoli_proteins-88ead48fb030,0.40000000000000002,0.90000000000000002,0.59999999999999998,0.20000000000000001,0.5,1,0.10000000000000001,0.69999999999999996,0.29999999999999999,0.80000000000000004,0
ecommerce_shipping-db33e797abb9,1,0,0.69999999999999996,0.59999999999999998,0.80000000000000004,0.5,0.20000000000000001,0.29999999999999999,0.90000000000000002,0.40000000000000002,0.10000000000000001
electric_motor_temperature_prediction-a13b29b9e53d,0.40000000000000002,1,0.69999999999999996,0.80000000000000004,0.5,0.90000000000000002,0.20000000000000001,0.29999999999999999,0.10000000000000001,0,0.59999999999999998
emscad-1790bb44ad91,1,0.80000000000000004,0.29999999999999999,0.69999999999999996,0.40000000000000002,0.5,0.20000000000000001,0.59999999999999998,0.90000000000000002,0,0.10000000000000001
eryhemato_squamous_disease-a64cf6ea937e,0.10000000000000001,1,0.90000000000000002,0.29999999999999999,0.20000000000000001,0.80000000000000004,0.40000000000000002,0.59999999999999998,0.69999999999999996,0.5,0
fiat_500-b26e24c630ed,1,0.80000000000000004,0.69999999999999996,0.29999999999999999,0.59999999999999998,0.5,0.20000000000000001,0.90000000000000002,0.10000000000000001,0.40000000000000002,0
fitness_club-95daf6614f7a,0.40000000000000002,1,0.69999999999999996,0.80000000000000004,0.59999999999999998,0.90000000000000002,0.5,0.20000000000000001,0.29999999999999999,0.10000000000000001,0
food_delivery_time-c2db6ce03f6d,1,0.69999999999999996,0.90000000000000002,0,0.5,0.20000000000000001,0.29999999999999999,0.80000000000000004,0.40000000000000002,0.10000000000000001,0.59999999999999998
forensic_glass_identification-e304196b0ccc,1,0.29999999999999999,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.69999999999999996,0.5,0.90000000000000002,0,0.20000000000000001,0.10000000000000001
forest_fires-7dc3af8601af,0.59999999999999998,1,0.5,0.20000000000000001,0.80000000000000004,0.29999999999999999,0.40000000000000002,0.69999999999999996,0,0.90000000000000002,0.10000000000000001
gallstone_disease-63982cfe3e7c,0.40000000000000002,1,0.80000000000000004,0.59999999999999998,0.69999999999999996,0.90000000000000002,0.29999999999999999,0.5,0.20000000000000001,0.10000000000000001,0
garments_worker_productivity-7b6a94e87c93,1,0.29999999999999999,0.69999999999999996,0.10000000000000001,0.40000000000000002,0.20000000000000001,0.5,0.59999999999999998,0.80000000000000004,0,0.90000000000000002
ghanas_indigenous_intel-ecbbda50d44e,0.5,0.80000000000000004,0.69999999999999996,0.29999999999999999,0.10000000000000001,0.59999999999999998,0,0.20000000000000001,1,0.40000000000000002,0.90000000000000002
give_me_some_credit-51f4a5f15bd6,0.69999999999999996,0.90000000000000002,0.80000000000000004,0.5,0.10000000000000001,0.40000000000000002,0.29999999999999999,0,1,0.59999999999999998,0.20000000000000001
hazelnut_spread_contaminant_detection-2e831ed5986d,0.90000000000000002,1,0.80000000000000004,0.69999999999999996,0.5,0.59999999999999998,0.29999999999999999,0.40000000000000002,0.10000000000000001,0.20000000000000001,0
healthcare_insurance_expenses-ad067e29f4ae,1,0.90000000000000002,0.80000000000000004,0.40000000000000002,0.29999999999999999,0.5,0.69999999999999996,0.59999999999999998,0.10000000000000001,0.20000000000000001,0
heart_disease_cleveland-1e633334e0ef,0.10000000000000001,0.90000000000000002,0,0.40000000000000002,0.29999999999999999,1,0.59999999999999998,0.80000000000000004,0.69999999999999996,0.5,0.20000000000000001
heart_disease_hungary-f5ca5cfb8352,0,1,0.40000000000000002,0.80000000000000004,0.69999999999999996,0.90000000000000002,0.10000000000000001,0.5,0.59999999999999998,0.20000000000000001,0.29999999999999999
heart_disease_va_long_beach-062b5d1dcb90,0.59999999999999998,0.20000000000000001,0,0.29999999999999999,0.80000000000000004,0.90000000000000002,1,0.69999999999999996,0.10000000000000001,0.40000000000000002,0.5
heart_failure_followup_survival-25d12c8bf5bb,1,0.10000000000000001,0.59999999999999998,0.40000000000000002,0.69999999999999996,0.20000000000000001,0.80000000000000004,0.29999999999999999,0.90000000000000002,0.5,0
heloc-d2ac12c6b994,1,0.80000000000000004,0.90000000000000002,0.59999999999999998,0.5,0.40000000000000002,0.20000000000000001,0.29999999999999999,0.69999999999999996,0,0.10000000000000001
hepatitis_c_prediction-d17a9e02b43b,1,0.69999999999999996,0.59999999999999998,0.5,0.40000000000000002,0.80000000000000004,0.29999999999999999,0.20000000000000001,0.90000000000000002,0,0.10000000000000001
hepatitis_survival_prediction-d1673748bbbe,0.59999999999999998,0.69999999999999996,0.5,0.29999999999999999,1,0.90000000000000002,0.80000000000000004,0.20000000000000001,0,0.40000000000000002,0.10000000000000001
hiva_agnostic-c4b35582c204,1,0.5,0.29999999999999999,0.40000000000000002,0.20000000000000001,0,0.69999999999999996,0.80000000000000004,0.59999999999999998,0.10000000000000001,0.90000000000000002
home_credit_default_risk-1b1ae7eb0542,0.69999999999999996,1,0.90000000000000002,0.59999999999999998,0.40000000000000002,0.20000000000000001,0.5,0.29999999999999999,0.10000000000000001,0,0.80000000000000004
home_credit_default_stability_1m-e56e2cf55fa2,0.69999999999999996,1,0.90000000000000002,0.5,0.59999999999999998,0.20000000000000001,0.29999999999999999,0.40000000000000002,0.10000000000000001,0,0.80000000000000004
homeq_default_prediction-6da1464558b9,1,0.90000000000000002,0.80000000000000004,0.5,0.59999999999999998,0.69999999999999996,0.29999999999999999,0.40000000000000002,0.20000000000000001,0,0.10000000000000001
homesite_quote_conversion-f57214c4e0ab,1,0.80000000000000004,0.69999999999999996,0.20000000000000001,0.59999999999999998,0.40000000000000002,0.29999999999999999,0.5,0.10000000000000001,0,0.90000000000000002
horse_colic_survival-e1beb13d0b4e,1,0.59999999999999998,0.5,0.80000000000000004,0.40000000000000002,0.20000000000000001,0,0.29999999999999999,0.90000000000000002,0.69999999999999996,0.10000000000000001
hotel_booking_demand-9541da6f5a2b,0.5,0.90000000000000002,0.80000000000000004,0,0.40000000000000002,0.29999999999999999,0.20000000000000001,0.10000000000000001,1,0.59999999999999998,0.69999999999999996
houses-ca1697d5c050,1,0.80000000000000004,0.90000000000000002,0.5,0.59999999999999998,0.69999999999999996,0.20000000000000001,0.40000000000000002,0.29999999999999999,0.10000000000000001,0
hr_analytics-9f0cb22a2cd4,1,0.80000000000000004,0.90000000000000002,0.10000000000000001,0.5,0.20000000000000001,0.40000000000000002,0.59999999999999998,0.69999999999999996,0.29999999999999999,0
ieee_fraud_detection-5e0af5cbbb73,1,0.90000000000000002,0.80000000000000004,0.5,0.29999999999999999,0.20000000000000001,0.40000000000000002,0.59999999999999998,0.10000000000000001,0,0.69999999999999996
immoscout_german_house_prices-58b4f389c67d,1,0.69999999999999996,0.90000000000000002,0.40000000000000002,0.5,0.59999999999999998,0.20000000000000001,0.29999999999999999,0.80000000000000004,0,0.10000000000000001
in_vehicle_coupon_recommendation-102e68b480bd,1,0.69999999999999996,0.90000000000000002,0.29999999999999999,0.5,0.59999999999999998,0.20000000000000001,0,0.80000000000000004,0.10000000000000001,0.40000000000000002
indian_liver_patient_dataset-0216cd985bcf,0.59999999999999998,0.80000000000000004,0.20000000000000001,0.40000000000000002,0.90000000000000002,1,0.29999999999999999,0.5,0.10000000000000001,0.69999999999999996,0
iranian_churn-87d6fa636729,1,0.90000000000000002,0.80000000000000004,0.5,0.59999999999999998,0.69999999999999996,0.29999999999999999,0.40000000000000002,0.20000000000000001,0.10000000000000001,0
jm1-c8cfe392b650,1,0.5,0.29999999999999999,0.40000000000000002,0.69999999999999996,0.80000000000000004,0.59999999999999998,0.90000000000000002,0,0.10000000000000001,0.20000000000000001
kdd_cup_09_appetency-72d0143e7c3d,0.80000000000000004,0.90000000000000002,0.5,0,0.40000000000000002,0.10000000000000001,0.69999999999999996,0.59999999999999998,1,0.29999999999999999,0.20000000000000001
kick-57821d387256,0.80000000000000004,1,0.90000000000000002,0.29999999999999999,0.40000000000000002,0.5,0.20000000000000001,0.59999999999999998,0.69999999999999996,0,0.10000000000000001
kickstarter-fc5123d788a6,1,0.80000000000000004,0.90000000000000002,0.5,0.59999999999999998,0.40000000000000002,0.20000000000000001,0.29999999999999999,0.10000000000000001,0,0.69999999999999996
labour_inspection_compliance-17b501f52bd1,1,0.80000000000000004,0.69999999999999996,0.20000000000000001,0.5,0.29999999999999999,0.10000000000000001,0.40000000000000002,0.90000000000000002,0.59999999999999998,0
lending_club_1m-f6bf13e264e4,0.69999999999999996,0.90000000000000002,0.80000000000000004,0.29999999999999999,0.5,0.20000000000000001,0.40000000000000002,0.59999999999999998,0.10000000000000001,0,1
ljubljana_breast_cancer-28c8b88c6b23,0.29999999999999999,1,0.90000000000000002,0.40000000000000002,0.59999999999999998,0.5,0.80000000000000004,0.69999999999999996,0.20000000000000001,0.10000000000000001,0
ljubljana_primary_tumor-b1acf2d83b0d,1,0.80000000000000004,0.5,0.69999999999999996,0.29999999999999999,0.59999999999999998,0.10000000000000001,0,0.90000000000000002,0.40000000000000002,0.20000000000000001
lung_cancer-48c9b1f8934d,0.29999999999999999,1,0.59999999999999998,0.80000000000000004,0.5,0.90000000000000002,0.20000000000000001,0,0.40000000000000002,0.10000000000000001,0.69999999999999996
lung_cancer_epithelial_genexp-ff6233558b2e,0.10000000000000001,0.80000000000000004,0.90000000000000002,0.59999999999999998,0.5,0.69999999999999996,0.40000000000000002,0.29999999999999999,0,0.20000000000000001,1
maps_router_eta_1m-8072a09ffab6,0.90000000000000002,0.80000000000000004,0.69999999999999996,0.40000000000000002,0.20000000000000001,0.5,0.29999999999999999,0.59999999999999998,0.10000000000000001,0,1
marketing_campaign-45b76b0f0de6,0.5,1,0.90000000000000002,0.69999999999999996,0.29999999999999999,0.59999999999999998,0.40000000000000002,0.20000000000000001,0.80000000000000004,0.10000000000000001,0
maternal_health_risk-002da4815804,1,0.5,0.40000000000000002,0.69999999999999996,0.90000000000000002,0.80000000000000004,0.29999999999999999,0.59999999999999998,0,0.20000000000000001,0.10000000000000001
mercari_price_suggestion_1m-12cff1856413,1,0.80000000000000004,0.90000000000000002,0.5,0.69999999999999996,0.59999999999999998,0.20000000000000001,0.40000000000000002,0.10000000000000001,0,0.29999999999999999
mercedes_benz_greener_manufacturing-da8ac0e00317,0.69999999999999996,1,0.59999999999999998,0.40000000000000002,0.20000000000000001,0.90000000000000002,0.29999999999999999,0.5,0.80000000000000004,0.10000000000000001,0
miami_housing-77ada7242bed,1,0.90000000000000002,0.80000000000000004,0.5,0.59999999999999998,0.69999999999999996,0.29999999999999999,0.40000000000000002,0.20000000000000001,0.10000000000000001,0
