task,LR (tuned + ensemble),RF (tuned + ensemble),XT (tuned + ensemble),CAT (tuned + ensemble),GBM (tuned + ensemble),XGB (tuned + ensemble),TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),TA-TABICLv2 (default)
cardiotocography-172ef52f9a1b,1.0,0.375,0.625,0.0,0.125,0.25,0.5,0.875,0.75
churn-4ae7db677764,1.0,0.625,0.5,0.125,0.75,0.375,0.25,0.875,0.0
cirrhosis_patient_survival_prediction-c8851fd8162a,0.25,0.875,1.0,0.625,0.375,0.75,0.125,0.0,0.5
climate_model_weather_forecasting_1m-88f9bd87b0e4,1.0,0.75,0.875,0.375,0.25,0.5,0.0,0.125,0.625
clock_protein_toxicity-f1eed69eb784,1.0,0.875,0.75,0.375,0.25,0.125,0.0,0.5,0.625
coffee_rating_prediction-5ff37781e0a3,0.75,0.875,1.0,0.5,0.25,0.375,0.0,0.625,0.125
coil_2000-d498c6d7849f,1.0,0.875,0.75,0.375,0.125,0.625,0.5,0.25,0.0
concrete_compressive_strength-4c0702dec5d1,1.0,0.75,0.875,0.5,0.25,0.375,0.125,0.625,0.0
consumer_complaints_1m-853af219eb5a,1.0,0.625,0.375,0.125,0.25,0.5,0.75,0.0,0.875
cooking_time_1m-835a54525572,0.625,0.75,0.875,0.0,0.125,0.375,0.25,0.5,1.0
covertype-1ed1c3d23864,0.875,0.625,0.75,0.25,0.375,0.5,0.125,0.0,1.0
credit_approval-a37d9105992b,1.0,0.0,0.875,0.5,0.375,0.125,0.75,0.625,0.25
credit_card_clients_default-9470ea90c86d,1.0,0.875,0.75,0.625,0.375,0.5,0.25,0.125,0.0
credit_g-6ced9fa4ef3f,0.75,0.875,1.0,0.125,0.375,0.5,0.625,0.0,0.25
customer_satisfaction_in_airline-717af216790d,1.0,0.875,0.75,0.375,0.5,0.625,0.25,0.125,0.0
delivery_eta_1m-2a88c3ab9376,1.0,0.75,0.875,0.375,0.25,0.125,0.0,0.5,0.625
dementia_prediction-d8ce15bd8d63,0.125,0.75,0.25,0.375,0.5,0.875,0.0,0.625,1.0
diabetes_130_us-a06cb03600f0,0.875,0.75,1.0,0.0,0.375,0.125,0.25,0.625,0.5
diamonds-910d3c5757be,1.0,0.875,0.75,0.375,0.5,0.625,0.0,0.125,0.25
drug_induced_autoimmunity_prediction-752f934a6ee0,1.0,0.625,0.375,0.5,0.875,0.75,0.125,0.25,0.0
early_learning_predictors-90d92cf6004c,1.0,0.875,0.75,0.125,0.0,0.5,0.25,0.375,0.625
early_stage_diabetes_risk_prediction-51d4ebef5816,1.0,0.25,0.375,0.125,0.875,0.5,0.625,0.75,0.0
ecoli_proteins-88ead48fb030,0.375,0.875,0.625,0.25,0.5,1.0,0.125,0.75,0.0
ecommerce_shipping-db33e797abb9,1.0,0.0,0.75,0.625,0.875,0.5,0.25,0.375,0.125
electric_motor_temperature_prediction-a13b29b9e53d,0.25,1.0,0.625,0.75,0.375,0.875,0.0,0.125,0.5
emscad-1790bb44ad91,1.0,0.875,0.25,0.75,0.375,0.5,0.125,0.625,0.0
eryhemato_squamous_disease-a64cf6ea937e,0.125,1.0,0.875,0.375,0.25,0.75,0.5,0.625,0.0
fiat_500-b26e24c630ed,1.0,0.75,0.625,0.25,0.5,0.375,0.125,0.875,0.0
fitness_club-95daf6614f7a,0.25,1.0,0.625,0.75,0.5,0.875,0.375,0.125,0.0
food_delivery_time-c2db6ce03f6d,1.0,0.625,0.875,0.0,0.375,0.125,0.25,0.75,0.5
forensic_glass_identification-e304196b0ccc,1.0,0.125,0.5,0.25,0.75,0.625,0.375,0.875,0.0
forest_fires-7dc3af8601af,0.625,1.0,0.5,0.125,0.875,0.25,0.375,0.75,0.0
gallstone_disease-63982cfe3e7c,0.25,1.0,0.75,0.5,0.625,0.875,0.125,0.375,0.0
garments_worker_productivity-7b6a94e87c93,1.0,0.25,0.75,0.0,0.375,0.125,0.5,0.625,0.875
ghanas_indigenous_intel-ecbbda50d44e,0.5,0.875,0.75,0.375,0.125,0.625,0.0,0.25,1.0
give_me_some_credit-51f4a5f15bd6,0.75,1.0,0.875,0.625,0.125,0.5,0.375,0.0,0.25
hazelnut_spread_contaminant_detection-2e831ed5986d,0.875,1.0,0.75,0.625,0.375,0.5,0.125,0.25,0.0
healthcare_insurance_expenses-ad067e29f4ae,1.0,0.875,0.75,0.25,0.125,0.375,0.625,0.5,0.0
heart_disease_cleveland-1e633334e0ef,0.125,0.875,0.0,0.5,0.375,1.0,0.625,0.75,0.25
heart_disease_hungary-f5ca5cfb8352,0.0,1.0,0.375,0.75,0.625,0.875,0.125,0.5,0.25
heart_disease_va_long_beach-062b5d1dcb90,0.5,0.125,0.0,0.25,0.75,0.875,1.0,0.625,0.375
heart_failure_followup_survival-25d12c8bf5bb,1.0,0.125,0.625,0.5,0.75,0.25,0.875,0.375,0.0
heloc-d2ac12c6b994,1.0,0.75,0.875,0.625,0.5,0.375,0.125,0.25,0.0
hepatitis_c_prediction-d17a9e02b43b,1.0,0.75,0.625,0.5,0.375,0.875,0.25,0.125,0.0
hepatitis_survival_prediction-d1673748bbbe,0.5,0.625,0.375,0.25,1.0,0.875,0.75,0.125,0.0
hiva_agnostic-c4b35582c204,1.0,0.5,0.25,0.375,0.125,0.0,0.625,0.75,0.875
home_credit_default_risk-1b1ae7eb0542,0.625,1.0,0.875,0.5,0.25,0.0,0.375,0.125,0.75
home_credit_default_stability_1m-e56e2cf55fa2,0.625,1.0,0.875,0.375,0.5,0.0,0.125,0.25,0.75
homeq_default_prediction-6da1464558b9,1.0,0.875,0.75,0.375,0.5,0.625,0.125,0.25,0.0
homesite_quote_conversion-f57214c4e0ab,1.0,0.75,0.625,0.0,0.5,0.25,0.125,0.375,0.875
horse_colic_survival-e1beb13d0b4e,1.0,0.75,0.625,0.875,0.5,0.25,0.0,0.375,0.125
hotel_booking_demand-9541da6f5a2b,0.625,1.0,0.875,0.0,0.5,0.375,0.25,0.125,0.75
houses-ca1697d5c050,1.0,0.75,0.875,0.375,0.5,0.625,0.125,0.25,0.0
hr_analytics-9f0cb22a2cd4,1.0,0.75,0.875,0.125,0.5,0.25,0.375,0.625,0.0
ieee_fraud_detection-5e0af5cbbb73,1.0,0.875,0.75,0.375,0.125,0.0,0.25,0.5,0.625
immoscout_german_house_prices-58b4f389c67d,1.0,0.75,0.875,0.375,0.5,0.625,0.125,0.25,0.0
in_vehicle_coupon_recommendation-102e68b480bd,1.0,0.75,0.875,0.25,0.5,0.625,0.125,0.0,0.375
indian_liver_patient_dataset-0216cd985bcf,0.625,0.75,0.125,0.375,0.875,1.0,0.25,0.5,0.0
iranian_churn-87d6fa636729,1.0,0.875,0.75,0.375,0.5,0.625,0.125,0.25,0.0
jm1-c8cfe392b650,1.0,0.375,0.125,0.25,0.625,0.75,0.5,0.875,0.0
kdd_cup_09_appetency-72d0143e7c3d,0.875,1.0,0.5,0.0,0.375,0.125,0.75,0.625,0.25
kick-57821d387256,0.75,1.0,0.875,0.25,0.375,0.5,0.125,0.625,0.0
kickstarter-fc5123d788a6,1.0,0.75,0.875,0.375,0.5,0.25,0.0,0.125,0.625
labour_inspection_compliance-17b501f52bd1,1.0,0.875,0.75,0.25,0.625,0.375,0.125,0.5,0.0
