location,manuscript value,source output,absolute difference,status
Table 3 NN-Torch pairwise,0.27273,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.2727272727272726,2.7272727273763842e-06,PASS
Table 3 NN-Torch gap,0.07614,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.076139546727782295,4.5327221770419257e-07,PASS
Table 3 ExtraTrees global,0.40629,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.40629274965800283,2.7496580028429918e-06,PASS
Table 3 ExtraTrees pairwise,0.30952,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.30952380952380948,3.8095238094615347e-06,PASS
Table 3 ExtraTrees gap,0.09677,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.096768940134193293,1.0598658067018096e-06,PASS
Table 3 RandomForest global,0.50561,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.50561421149656471,4.2114965647099822e-06,PASS
Table 3 RandomForest pairwise,0.29758,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.29757785467128051,2.145328719505013e-06,PASS
Table 3 RandomForest gap,0.20804,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.20803635682528421,3.6431747157950056e-06,PASS
Table 3 Linear global,0.64611,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.64611470981615959,4.709816159631508e-06,PASS
Table 3 Linear pairwise,0.52036,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.52036199095022662,1.9909502265713641e-06,PASS
Table 3 Linear gap,0.12575,TABARENA_GLOBAL_FEASIBLE_WINNER_ENTRY_RADII.csv: 0.12575271886593289,2.7188659328936104e-06,PASS
BeyondArena text IID task count,97,ALL_CASE_SUMMARIES.csv: 97,0,PASS
BeyondArena text IID Top-1,0.0057274,ALL_CASE_SUMMARIES.csv: 0.0057273768613973,2.3138602699666888e-08,PASS
BeyondArena text temporal task count,11,ALL_CASE_SUMMARIES.csv: 11,0,PASS
BeyondArena text temporal Top-1,0.102273,ALL_CASE_SUMMARIES.csv: 0.10227272727272731,2.7272727269600505e-07,PASS
BeyondArena text grouped task count,14,ALL_CASE_SUMMARIES.csv: 14,0,PASS
BeyondArena text grouped Top-1,0.0714286,ALL_CASE_SUMMARIES.csv: 0.071428571428571397,2.8571428598023196e-08,PASS
BeyondArena text regime-balanced Top-1,0.0051179,ALL_CASE_SUMMARIES.csv: 0.0051178859547566999,1.4045243299995458e-08,PASS
BeyondArena text coverage9 122-dataset Top-1,0.0163934,ALL_CASE_SUMMARIES.csv: 0.0163934426229508,4.2622950800763615e-08,PASS
BeyondArena text coverage9 142-dataset Top-1,0.0295775,ALL_CASE_SUMMARIES.csv: 0.0295774647887324,3.5211267599560836e-08,PASS
BenchPress verified_plus_third_party_canonical common benchmarks,12,benchpress_source_gate_sensitivity.csv: 12,0,PASS
BenchPress verified_plus_third_party_canonical radius,0.125,benchpress_source_gate_sensitivity.csv: 0.125,0,PASS
BenchPress released_paper_matrix_all_statuses common benchmarks,13,benchpress_source_gate_sensitivity.csv: 13,0,PASS
BenchPress released_paper_matrix_all_statuses radius,0.14103,benchpress_source_gate_sensitivity.csv: 0.14102564102564111,4.358974358881218e-06,PASS
BenchPress fixed-scope cell count,110,benchpress_fixed_scope_source_control.csv: 110,0,PASS
BenchPress fixed-scope radius,0.0909091,benchpress_fixed_scope_source_control.csv: 0.090909090909090801,9.0909092059776597e-09,PASS
TabArena task bootstrap winner percent,76.12,tabarena_bootstrap_winner_frequencies.csv: 76.120000000000005,0,PASS
TabArena task bootstrap replicates,10000,tabarena_bootstrap_winner_frequencies.csv: 10000,0,PASS
TabArena task bootstrap MCSE percentage points,0.43,binomial MCSE from archived frequency and N: 0.42635027852694085,0.0036497214730591421,PASS
TabArena paired-fold bootstrap winner percent,100,tabarena_bootstrap_winner_frequencies.csv: 100,0,PASS
TabArena paired-fold bootstrap replicates,3000,tabarena_bootstrap_winner_frequencies.csv: 3000,0,PASS
TabArena leave-one-dataset-out count,51,tabarena_leave_one_dataset_out.csv: 51,0,PASS
TabArena leave-one-nonwinner-method count,13,tabarena_leave_one_method_out.csv (rank rows): 13,0,PASS
TabArena min-max Top-1,0.0251975,tabarena_run_metadata.json: 0.025197535419379538,3.5419379536966167e-08,PASS
TabArena problem-type-balanced Top-1,0.0504,baseline_weight_sensitivity.csv: 0.0503988603988604,1.1396011396005989e-06,PASS
TabArena problem-type-balanced Top-3,0.00475,baseline_weight_sensitivity.csv: 0.0047483380816714001,1.6619183285998193e-06,PASS
Witness table total candidate problems,109,PAIRWISE_RECOMPUTATION.csv: 109,0,PASS
Witness table finite pairwise,101,PAIRWISE_RECOMPUTATION.csv: 101,0,PASS
Witness table infeasible pairwise,8,PAIRWISE_RECOMPUTATION.csv: 8,0,PASS
Witness table finite verifier passes,101,PAIRWISE_RECOMPUTATION.csv: 101,0,PASS
Global verifier total,14,GLOBAL_RECOMPUTATION.csv: 14,0,PASS
Global finite cases,13,GLOBAL_RECOMPUTATION.csv: 13,0,PASS
Global dominance-infeasible cases,1,GLOBAL_RECOMPUTATION.csv: 1,0,PASS
Independent maximum pairwise difference,3e-15,INDEPENDENT_VERIFICATION_RESULTS.json: 2.9976021664879227e-15,2.3978335120771795e-18,PASS
Independent maximum finite global difference,3.33e-16,INDEPENDENT_VERIFICATION_RESULTS.json: 3.3306690738754696e-16,6.6907387546974511e-20,PASS
Ordered-transfer random matrices,1500,ORDERED_TRANSFER_SIGN_CONSISTENT_VALIDATION.csv: 1500,0,PASS
Ordered-transfer candidate problems,6800,ORDERED_TRANSFER_SIGN_CONSISTENT_VALIDATION.csv: 6800,0,PASS
Ordered-transfer finite comparisons,6402,ORDERED_TRANSFER_SIGN_CONSISTENT_VALIDATION.csv: 6402,0,PASS
Ordered-transfer infeasible comparisons,398,ORDERED_TRANSFER_SIGN_CONSISTENT_VALIDATION.csv: 398,0,PASS
Ordered-transfer maximum LP difference,1.14e-13,ORDERED_TRANSFER_SIGN_CONSISTENT_VALIDATION.csv: 1.1424194923392861e-13,2.4194923392861414e-16,PASS
Evidence-register maximum TV discrepancy,2.3e-16,ORDERED_TRANSFER_SIGN_CONSISTENT_VALIDATION.csv (manuscript says below): 2.2898349882893849e-16,1.0165011710615031e-18,PASS
