case_id,winner,competitor,expected_finite,observed_finite,expected_radius_tv,observed_radius_tv,absolute_difference,status
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),LR (tuned + ensemble),True,True,0.3576406411457956,0.3576406411457931,2.4980018054066022e-15,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),RF (tuned + ensemble),True,True,0.2899689085256093,0.28996890852560736,1.942890293094024e-15,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),XT (tuned + ensemble),True,True,0.2102746909447936,0.21027469094479248,1.1102230246251565e-15,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),CAT (tuned + ensemble),True,True,0.0755232739768821,0.07552327397688147,6.38378239159465e-16,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),GBM (tuned + ensemble),True,True,0.0989378319275225,0.09893783192752148,1.0130785099704553e-15,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),XGB (tuned + ensemble),True,True,0.1756096137539435,0.17560961375394243,1.0547118733938987e-15,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),True,True,0.1216989820551206,0.12169898205512003,5.689893001203927e-16,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),TA-TABDPT (default),True,True,0.2365388048377737,0.23653880483777281,8.881784197001252e-16,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),TA-TABPFN-2.6 (default),True,True,0.0051178859547567,0.0051178859547574345,7.346553920761778e-16,PASS
primary11__all__rank__regime_balanced,TA-REALMLP (tuned + ensemble),TA-TABICLv2 (default),True,True,0.0913344602133262,0.09133446021332697,7.771561172376096e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),LR (tuned + ensemble),True,True,0.3638977374791303,0.36389773747912996,3.3306690738754696e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),RF (tuned + ensemble),True,True,0.2317596013292374,0.23175960132923698,4.163336342344337e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),XT (tuned + ensemble),True,True,0.1583978514824529,0.15839785148245258,3.0531133177191805e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),CAT (tuned + ensemble),True,True,0.0635731305920643,0.06357313059206408,2.220446049250313e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),GBM (tuned + ensemble),True,True,0.0732782243461153,0.07327822434611503,2.7755575615628914e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),XGB (tuned + ensemble),True,True,0.1140236980323929,0.11402369803239265,2.498001805406602e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),TA-REALMLP (tuned + ensemble),True,True,0.030470967732163,0.03047096773216289,1.0755285551056204e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),TA-TABM (tuned + ensemble),True,True,0.0650324329438314,0.06503243294383125,1.5265566588595902e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),TA-TABDPT (default),True,True,0.1862038318789775,0.1862038318789772,2.7755575615628914e-16,PASS
primary11__all__minmax__equal,TA-TABPFN-2.6 (default),TA-TABICLv2 (default),True,True,0.021471026002121,0.021471026002121134,1.3530843112619095e-16,PASS
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),LR (tuned + ensemble),True,True,0.3527528809218948,0.3527528809218918,2.9976021664879227e-15,PASS
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),RF (tuned + ensemble),True,True,0.2816901408450697,0.2816901408450679,1.8318679906315083e-15,PASS
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),XT (tuned + ensemble),True,True,0.2221018418201513,0.2221018418201497,1.609823385706477e-15,PASS
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),CAT (tuned + ensemble),True,True,0.092957746478873,0.09295774647887248,5.273559366969494e-16,PASS
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),GBM (tuned + ensemble),True,True,0.1158059467918621,0.11580594679186125,8.465450562766819e-16,PASS
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),XGB (tuned + ensemble),True,True,0.1555697823303456,0.15556978233034438,1.2212453270876722e-15,PASS
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),TA-TABM (tuned + ensemble),True,True,0.0922535211267604,0.09225352112675977,6.245004513516506e-16,PASS
coverage9__all__rank__equal,TA-REALMLP (tuned + ensemble),TA-TABICLv2 (default),True,True,0.0295774647887324,0.029577464788732147,2.5326962749261384e-16,PASS
coverage9__primary122__rank__equal,TA-TABICLv2 (default),LR (tuned + ensemble),True,True,0.2730532786885247,0.2730532786885243,3.885780586188048e-16,PASS
coverage9__primary122__rank__equal,TA-TABICLv2 (default),RF (tuned + ensemble),True,True,0.3166915052160955,0.316691505216095,4.996003610813204e-16,PASS
coverage9__primary122__rank__equal,TA-TABICLv2 (default),XT (tuned + ensemble),True,True,0.2276166456494326,0.22761664564943207,5.273559366969494e-16,PASS
coverage9__primary122__rank__equal,TA-TABICLv2 (default),CAT (tuned + ensemble),True,True,0.0907944514501893,0.09079445145018909,2.0816681711721685e-16,PASS
coverage9__primary122__rank__equal,TA-TABICLv2 (default),GBM (tuned + ensemble),True,True,0.1001170960187355,0.10011709601873527,2.3592239273284576e-16,PASS
coverage9__primary122__rank__equal,TA-TABICLv2 (default),XGB (tuned + ensemble),True,True,0.1582597730138715,0.15825977301387117,3.3306690738754696e-16,PASS
coverage9__primary122__rank__equal,TA-TABICLv2 (default),TA-REALMLP (tuned + ensemble),True,True,0.0163934426229509,0.016393442622950796,1.0408340855860843e-16,PASS
coverage9__primary122__rank__equal,TA-TABICLv2 (default),TA-TABM (tuned + ensemble),True,True,0.0860655737704919,0.08606557377049175,1.5265566588595902e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),LR (tuned + ensemble),True,True,0.3292349726775958,0.3292349726775954,4.440892098500626e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),RF (tuned + ensemble),True,True,0.3497267759562844,0.3497267759562838,5.551115123125783e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),XT (tuned + ensemble),True,True,0.2627504553734064,0.2627504553734057,7.216449660063518e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),CAT (tuned + ensemble),True,True,0.1434426229508198,0.14344262295081947,3.3306690738754696e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),GBM (tuned + ensemble),True,True,0.1644165863066539,0.16441658630665348,4.163336342344337e-16,PASS
living12__all__rank__equal,TA-TABPFN-3 (default),XGB (tuned + ensemble),True,True,0.2131147540983608,0.21311475409836028,5.273559366969494e-16,PASS
